geography,segment,timestamp,value
'00','total',2024-01-01 00:00:00,13609.395625867219
'00','total',2024-01-01 01:00:00,13581.126612667884
'00','total',2024-01-01 02:00:00,13513.944425969112
'00','total',2024-01-01 03:00:00,13443.488412143348
'00','total',2024-01-01 04:00:00,13530.047134935447
'00','total',2024-01-01 05:00:00,13730.022163413501
'00','total',2024-01-01 06:00:00,14212.371649617007
'00','total',2024-01-01 07:00:00,14604.052946335552
'00','total',2024-01-01 08:00:00,14797.331827520195
'00','total',2024-01-01 09:00:00,14963.197503018178
'00','total',2024-01-01 10:00:00,15109.77591150231
'00','total',2024-01-01 11:00:00,15172.356957789312
'00','total',2024-01-01 12:00:00,15250.733015906084
'00','total',2024-01-01 13:00:00,15428.827674656526
'00','total',2024-01-01 14:00:00,15629.853956572248
'00','total',2024-01-01 15:00:00,15903.311569860902
'00','total',2024-01-01 16:00:00,16017.843226082809
'00','total',2024-01-01 17:00:00,15965.551118653904
'00','total',2024-01-01 18:00:00,15714.621931739226
'00','total',2024-01-01 19:00:00,15453.997940597192
'00','total',2024-01-01 20:00:00,15151.119136221614
'00','total',2024-01-01 21:00:00,14878.30182899878
'00','total',2024-01-01 22:00:00,14577.836201392207
'00','total',2024-01-01 23:00:00,14317.544680678655
'00','total',2024-01-02 00:00:00,15059.783257663874
'00','total',2024-01-02 01:00:00,14845.537479882836
'00','total',2024-01-02 02:00:00,14708.838681370678
'00','total',2024-01-02 03:00:00,14698.62202140295
'00','total',2024-01-02 04:00:00,14903.807762986622
'00','total',2024-01-02 05:00:00,15311.580155414344
'00','total',2024-01-02 06:00:00,16369.541338114264
'00','total',2024-01-02 07:00:00,17465.98109764742
'00','total',2024-01-02 08:00:00,17979.096233530232
'00','total',2024-01-02 09:00:00,18252.191853200657
'00','total',2024-01-02 10:00:00,18392.63710451353
'00','total',2024-01-02 11:00:00,18457.00897327511
'00','total',2024-01-02 12:00:00,18410.534635369768
'00','total',2024-01-02 13:00:00,18399.338395419443
'00','total',2024-01-02 14:00:00,18358.39751879067
'00','total',2024-01-02 15:00:00,18297.386298612673
'00','total',2024-01-02 16:00:00,18007.854850456613
'00','total',2024-01-02 17:00:00,17704.528753729286
'00','total',2024-01-02 18:00:00,17230.21951304197
'00','total',2024-01-02 19:00:00,16870.796633283095
'00','total',2024-01-02 20:00:00,16473.000097048927
'00','total',2024-01-02 21:00:00,16041.430140782448
'00','total',2024-01-02 22:00:00,15538.615716935668
'00','total',2024-01-02 23:00:00,15205.053530298075
'00','total',2024-01-03 00:00:00,15250.900445466812
'00','total',2024-01-03 01:00:00,15061.656305638848
'00','total',2024-01-03 02:00:00,14991.599987756077
'00','total',2024-01-03 03:00:00,15008.044522195361
'00','total',2024-01-03 04:00:00,15226.838319473023
'00','total',2024-01-03 05:00:00,15778.002353563375
'00','total',2024-01-03 06:00:00,17225.09157557379
'00','total',2024-01-03 07:00:00,18371.716865696937
'00','total',2024-01-03 08:00:00,18943.44610599372
'00','total',2024-01-03 09:00:00,19192.527647108116
'00','total',2024-01-03 10:00:00,19297.207261529602
'00','total',2024-01-03 11:00:00,19326.440838524464
'00','total',2024-01-03 12:00:00,19277.389201607202
'00','total',2024-01-03 13:00:00,19300.45776584816
'00','total',2024-01-03 14:00:00,19171.840596835933
'00','total',2024-01-03 15:00:00,19047.932935052995
'00','total',2024-01-03 16:00:00,18580.76253419767
'00','total',2024-01-03 17:00:00,18358.234944587388
'00','total',2024-01-03 18:00:00,18070.073280798875
'00','total',2024-01-03 19:00:00,17690.664996526182
'00','total',2024-01-03 20:00:00,17278.466717703577
'00','total',2024-01-03 21:00:00,16891.358410587673
'00','total',2024-01-03 22:00:00,16405.209037322777
'00','total',2024-01-03 23:00:00,16019.524994929945
'00','total',2024-01-04 00:00:00,15310.849712416199
'00','total',2024-01-04 01:00:00,15312.782166462488
'00','total',2024-01-04 02:00:00,15319.046324785571
'00','total',2024-01-04 03:00:00,15417.763163835252
'00','total',2024-01-04 04:00:00,15918.504165414477
'00','total',2024-01-04 05:00:00,17247.279357864783
'00','total',2024-01-04 06:00:00,19076.515978306204
'00','total',2024-01-04 07:00:00,20368.023162513775
'00','total',2024-01-04 08:00:00,20652.260677303682
'00','total',2024-01-04 09:00:00,20632.99738512325
'00','total',2024-01-04 10:00:00,20656.470312652466
'00','total',2024-01-04 11:00:00,20586.859292224217
'00','total',2024-01-04 12:00:00,20485.656922068047
