hour,value
0,0.0001395717
1,0.0001154891
2,0.0000930478
3,0.0000737769
4,0.0000589899
5,0.0000496944
6,0.0000465238
7,0.0000496943
8,0.0000589897
9,0.0000737766
10,0.0000930472
11,0.0001154883
12,0.0001395705
13,0.0001636526
14,0.0001860934
15,0.0002053637
16,0.0002201501
17,0.0002294450
18,0.0002326150
19,0.0002294440
20,0.0002201482
21,0.0002053610
22,0.0001860902
23,0.0001636491
24,0.0001395669
25,0.0001154849
26,0.0000930441
27,0.0000737738
28,0.0000589872
29,0.0000496919
30,0.0000465214
31,0.0000496916
32,0.0000589864
33,0.0000737722
34,0.0000930414
35,0.0001154808
36,0.0001395610
37,0.0001636409
38,0.0001860796
39,0.0002053479
40,0.0002201325
41,0.0002294261
42,0.0002325951
43,0.0002294238
44,0.0002201281
45,0.0002053417
46,0.0001860722
47,0.0001636328
48,0.0001395526
49,0.0001154727
50,0.0000930340
51,0.0000737656
52,0.0000589805
53,0.0000496861
54,0.0000465158
55,0.0000496855
56,0.0000589790
57,0.0000737627
58,0.0000930292
59,0.0001154653
60,0.0001395419
61,0.0001636181
62,0.0001860531
63,0.0002053180
64,0.0002200999
65,0.0002293914
66,0.0002325594
67,0.0002293878
68,0.0002200930
69,0.0002053084
70,0.0001860415
71,0.0001636053
72,0.0001395288
73,0.0001154526
74,0.0000930176
75,0.0000737523
76,0.0000589697
77,0.0000496769
78,0.0000465071
79,0.0000496760
80,0.0000589675
81,0.0000737482
82,0.0000930107
83,0.0001154419
84,0.0001395133
85,0.0001635841
86,0.0001860139
87,0.0002052742
88,0.0002200523
89,0.0002293411
90,0.0002325077
91,0.0002293362
92,0.0002200429
93,0.0002052610
94,0.0001859980
95,0.0001635666
96,0.0001394954
97,0.0001154247
98,0.0000929948
99,0.0000737341
100,0.0000589549
101,0.0000496643
102,0.0000464952
103,0.0000496631
104,0.0000589521
105,0.0000737287
106,0.0000929858
107,0.0001154107
108,0.0001394751
109,0.0001635389
110,0.0001859620
111,0.0002052163
112,0.0002199896
113,0.0002292751
114,0.0002324401
115,0.0002292689
116,0.0002199777
117,0.0002051996
118,0.0001859419
119,0.0001635167
120,0.0001704419
121,0.0001410308
122,0.0001136247
123,0.0000900909
124,0.0000720331
125,0.0000606813
126,0.0000568090
127,0.0000606795
128,0.0000720287
129,0.0000900828
130,0.0001136111
131,0.0001410097
132,0.0001704113
133,0.0001998120
134,0.0002272079
135,0.0002507321
136,0.0002687812
137,0.0002801254
138,0.0002839916
139,0.0002801162
140,0.0002687636
141,0.0002507074
142,0.0002271782
143,0.0001997793
144,0.0001703778
145,0.0001409774
146,0.0001135813
147,0.0000900563
148,0.0000720052
149,0.0000606577
150,0.0000567867
151,0.0000606555
152,0.0000720000
153,0.0000900467
154,0.0001135651
155,0.0001409523
156,0.0001703415
157,0.0001997295
158,0.0002271135
159,0.0002506271
160,0.0002686680
161,0.0002800066
162,0.0002838703
163,0.0002799958
164,0.0002686473
165,0.0002505982
166,0.0002270786
167,0.0001996911
168,0.0001393381
169,0.0001152936
170,0.0000928884
171,0.0000736491
172,0.0000588865
173,0.0000496063
174,0.0000464404
175,0.0000496042
176,0.0000588816
177,0.0000736399
178,0.0000928730
179,0.0001152698
180,0.0001393036
181,0.0001633364
182,0.0001857302
183,0.0002049588
184,0.0002197116
185,0.0002289835
186,0.0002321425
187,0.0002289734
188,0.0002196923
189,0.0002049316
190,0.0001856974
191,0.0001633004
192,0.0001392668
193,0.0001152342
194,0.0000928403
195,0.0000736107
196,0.0000588556
197,0.0000495801
198,0.0000464158
199,0.0000495778
200,0.0000588501
201,0.0000736003
202,0.0000928228
203,0.0001152071
204,0.0001392275
205,0.0001632467
206,0.0001856277
207,0.0002048450
208,0.0002195891
209,0.0002288551
210,0.0002320117
211,0.0002288437
212,0.0002195672
213,0.0002048144
214,0.0001855907
215,0.0001632061
216,0.0001391859
217,0.0001151670
218,0.0000927858
219,0.0000735674
220,0.0000588208
221,0.0000495506
222,0.0000463881
223,0.0000495480
224,0.0000588146
225,0.0000735557
226,0.0000927663
227,0.0001151367
228,0.0001391420
229,0.0001631459
230,0.0001855125
231,0.0002047174
232,0.0002194517
233,0.0002287113
234,0.0002318652
235,0.0002286986
236,0.0002194273
237,0.0002046833
238,0.0001854714
239,0.0001631007
240,0.0001390956
241,0.0001150920
242,0.0000927251
243,0.0000735190
244,0.0000587820
245,0.0000495178
246,0.0000463572
247,0.0000495149
248,0.0000587751
249,0.0000735062
250,0.0000927035
251,0.0001150584
252,0.0001390470
253,0.0001630341
254,0.0001853849
255,0.0002045759
256,0.0002192994
257,0.0002285519
258,0.0002317030
259,0.0002285379
260,0.0002192726
261,0.0002045384
262,0.0001853395
263,0.0001629843
264,0.0001389960
265,0.0001150092
266,0.0000926582
267,0.0000734657
268,0.0000587392
269,0.0000494816
270,0.0000463232
271,0.0000494785
272,0.0000587317
273,0.0000734516
274,0.0000926345
275,0.0001149724
276,0.0001389426
277,0.0001629113
278,0.0001852447
279,0.0002044206
280,0.0002191323
281,0.0002283771
282,0.0002315251
283,0.0002283619
284,0.0002191030
285,0.0002043797
286,0.0001851952
287,0.0001628569
288,0.0001697507
289,0.0001404561
290,0.0001131594
291,0.0000897202
292,0.0000717352
293,0.0000604292
294,0.0000565719
295,0.0000604250
296,0.0000717252
297,0.0000897015
298,0.0001131279
299,0.0001404072
300,0.0001696798
301,0.0001989503
302,0.0002262236
303,0.0002496408
304,0.0002676062
305,0.0002788952
306,0.0002827387
307,0.0002788750
308,0.0002675674
309,0.0002495866
