hour,value
0,0.0000193695
1,0.0000423454
2,0.0000722881
3,0.0001071571
4,0.0001445762
5,0.0001819952
6,0.0002168642
7,0.0002468069
8,0.0002697827
9,0.0002842258
10,0.0002891521
11,0.0002842257
12,0.0002697824
13,0.0002468065
14,0.0002168638
15,0.0001819948
16,0.0001445758
17,0.0001071568
18,0.0000722878
19,0.0000423452
20,0.0000193694
21,0.0000049263
22,0.0000000000
23,0.0000049263
24,0.0000193694
25,0.0000423451
26,0.0000722875
27,0.0001071562
28,0.0001445748
29,0.0001819934
30,0.0002168619
31,0.0002468041
32,0.0002697795
33,0.0002842223
34,0.0002891483
35,0.0002842218
36,0.0002697786
37,0.0002468029
38,0.0002168605
39,0.0001819919
40,0.0001445734
41,0.0001071549
42,0.0000722865
43,0.0000423444
44,0.0000193691
45,0.0000049262
46,0.0000000000
47,0.0000049262
48,0.0000193690
49,0.0000423441
50,0.0000722859
51,0.0001071537
52,0.0001445714
53,0.0001819890
54,0.0002168566
55,0.0002467979
56,0.0002697725
57,0.0002842148
58,0.0002891405
59,0.0002842140
60,0.0002697710
61,0.0002467958
62,0.0002168541
63,0.0001819864
64,0.0001445690
65,0.0001071516
66,0.0000722842
67,0.0000423431
68,0.0000193684
69,0.0000049260
70,0.0000000000
71,0.0000049260
72,0.0000193683
73,0.0000423426
74,0.0000722833
75,0.0001071498
76,0.0001445660
77,0.0001819821
78,0.0002168482
79,0.0002467882
80,0.0002697617
81,0.0002842033
82,0.0002891286
83,0.0002842021
84,0.0002697596
85,0.0002467852
86,0.0002168447
87,0.0001819784
88,0.0001445625
89,0.0001071467
90,0.0000722809
91,0.0000423411
92,0.0000193675
93,0.0000049258
94,0.0000000000
95,0.0000049258
96,0.0000193674
97,0.0000423405
98,0.0000722796
99,0.0001071443
100,0.0001445585
101,0.0001819726
102,0.0002168367
103,0.0002467750
104,0.0002697472
105,0.0002841877
106,0.0002891126
107,0.0002841863
108,0.0002697444
109,0.0002467711
110,0.0002168322
111,0.0001819678
112,0.0001445540
113,0.0001071404
114,0.0000722766
115,0.0000423385
116,0.0000193663
117,0.0000049255
118,0.0000000000
119,0.0000049255
120,0.0000077464
121,0.0000169351
122,0.0000289100
123,0.0000428549
124,0.0000578196
125,0.0000727842
126,0.0000867289
127,0.0000987033
128,0.0001078915
129,0.0001136673
130,0.0001156370
131,0.0001136666
132,0.0001078901
133,0.0000987014
134,0.0000867267
135,0.0000727819
136,0.0000578174
137,0.0000428530
138,0.0000289085
139,0.0000169342
140,0.0000077460
141,0.0000019700
142,0.0000000000
143,0.0000019700
144,0.0000077458
145,0.0000169338
146,0.0000289077
147,0.0000428515
148,0.0000578150
149,0.0000727783
150,0.0000867218
151,0.0000986953
152,0.0001078826
153,0.0001136579
154,0.0001156274
155,0.0001136570
156,0.0001078810
157,0.0000986930
158,0.0000867192
159,0.0000727756
160,0.0000578124
161,0.0000428493
162,0.0000289060
163,0.0000169327
164,0.0000077453
165,0.0000019699
166,0.0000000000
167,0.0000019699
168,0.0000193629
169,0.0000423306
170,0.0000722625
171,0.0001071188
172,0.0001445239
173,0.0001819287
174,0.0002167840
175,0.0002467146
176,0.0002696807
177,0.0002841172
178,0.0002890404
179,0.0002841147
180,0.0002696760
181,0.0002467081
182,0.0002167764
183,0.0001819207
184,0.0001445163
185,0.0001071123
186,0.0000722575
187,0.0000423273
188,0.0000193612
189,0.0000049242
190,0.0000000000
191,0.0000049241
192,0.0000193608
193,0.0000423261
194,0.0000722548
195,0.0001071073
196,0.0001445083
197,0.0001819089
198,0.0002167603
199,0.0002466875
200,0.0002696509
201,0.0002840857
202,0.0002890081
203,0.0002840829
204,0.0002696456
205,0.0002466802
206,0.0002167518
207,0.0001818999
208,0.0001444997
209,0.0001070999
210,0.0000722491
211,0.0000423223
212,0.0000193589
213,0.0000049236
214,0.0000000000
215,0.0000049235
216,0.0000193585
217,0.0000423210
218,0.0000722461
219,0.0001070943
220,0.0001444907
221,0.0001818866
222,0.0002167337
223,0.0002466570
224,0.0002696174
225,0.0002840502
226,0.0002889719
227,0.0002840471
228,0.0002696115
229,0.0002466488
230,0.0002167241
231,0.0001818766
232,0.0001444811
233,0.0001070860
234,0.0000722397
235,0.0000423168
236,0.0000193564
237,0.0000049229
238,0.0000000000
239,0.0000049229
240,0.0000193559
241,0.0000423153
242,0.0000722364
243,0.0001070798
244,0.0001444710
245,0.0001818618
246,0.0002167040
247,0.0002466231
248,0.0002695802
249,0.0002840108
250,0.0002889316
251,0.0002840074
252,0.0002695736
253,0.0002466140
254,0.0002166934
255,0.0001818507
256,0.0001444605
257,0.0001070707
258,0.0000722293
259,0.0000423107
260,0.0000193535
261,0.0000049222
262,0.0000000000
263,0.0000049222
264,0.0000193531
265,0.0000423091
266,0.0000722256
267,0.0001070638
268,0.0001444494
269,0.0001818345
270,0.0002166713
271,0.0002465857
272,0.0002695392
273,0.0002839675
274,0.0002888874
275,0.0002839637
276,0.0002695320
277,0.0002465758
278,0.0002166597
279,0.0001818223
280,0.0001444378
281,0.0001070538
282,0.0000722179
283,0.0000423040
284,0.0000193505
285,0.0000049214
286,0.0000000000
287,0.0000049214
288,0.0000077400
289,0.0000169209
290,0.0000288856
291,0.0000428186
292,0.0000577703
293,0.0000727218
294,0.0000866542
295,0.0000986180
296,0.0001077978
297,0.0001135681
298,0.0001155356
299,0.0001135664
300,0.0001077946
301,0.0000986137
302,0.0000866492
303,0.0000727166
304,0.0000577653
305,0.0000428142
306,0.0000288822
307,0.0000169187
308,0.0000077388
309,0.0000019682
310,0.0000000000
311,0.0000019682
312,0.0000077386
313,0.0000169179
314,0.0000288805
315,0.0000428110
316,0.0000577601
317,0.0000727089
318,0.0000866387
319,0.0000986003
320,0.0001077784
321,0.0001135476
322,0.0001155147
323,0.0001135458
324,0.0001077750
325,0.0000985957
326,0.0000866333
327,0.0000727032
328,0.0000577546
329,0.0000428063
330,0.0000288769
331,0.0000169155
332,0.0000077374
333,0.0000019679
334,0.0000000000
335,0.0000019678
336,0.0000193429
337,0.0000422868
338,0.0000721874
339,0.0001070070
340,0.0001443725
341,0.0001817374
342,0.0002165552
343,0.0002464531
344,0.0002693938
345,0.0002838138
346,0.0002887306
347,0.0002838091
348,0.0002693848
349,0.0002464407
350,0.0002165406
351,0.0001817221
352,0.0001443579
353,0.0001069944
354,0.0000721777
355,0.0000422804
356,0.0000193396
357,0.0000049187
358,0.0000000000
359,0.0000049186
360,0.0000193390
361,0.0000422782
362,0.0000721727
363,0.0001069852
364,0.0001443429
365,0.0001817000
366,0.0002165105
367,0.0002464022
368,0.0002693380
369,0.0002837548
370,0.0002886704
371,0.0002837497
372,0.0002693283
373,0.0002463889
374,0.0002164950
375,0.0001816837
376,0.0001443274
377,0.0001069717
378,0.0000721624
379,0.0000422713
380,0.0000193355
381,0.0000049176
382,0.0000000000
383,0.0000049175
384,0.0000193348
385,0.0000422690
386,0.0000721570
387,0.0001069618
388,0.0001443113
389,0.0001816601
390,0.0002164629
391,0.0002463479
392,0.0002692784
393,0.0002836919
394,0.0002886062
395,0.0002836865
396,0.0002692681
397,0.0002463338
398,0.0002164464
399,0.0001816428
400,0.0001442948
401,0.0001069475
402,0.0000721460
403,0.0000422617
404,0.0000193311
405,0.0000049165
406,0.0000000000
407,0.0000049164
408,0.0000193303
409,0.0000422592
410,0.0000721403
411,0.0001069370
412,0.0001442778
413,0.0001816178
414,0.0002164124
415,0.0002462902
416,0.0002692152
417,0.0002836252
418,0.0002885382
419,0.0002836195
420,0.0002692043
421,0.0002462753
422,0.0002163949
423,0.0001815995
424,0.0001442603
425,0.0001069219
426,0.0000721287
427,0.0000422516
428,0.0000193264
429,0.0000049153
430,0.0000000000
431,0.0000049152
432,0.0000193256
433,0.0000422489
434,0.0000721227
435,0.0001069108
436,0.0001442423
437,0.0001815730
438,0.0002163589
439,0.0002462292
440,0.0002691484
441,0.0002835546
442,0.0002884662
443,0.0002835486
444,0.0002691369
445,0.0002462134
446,0.0002163404
447,0.0001815537
448,0.0001442238
449,0.0001068948
450,0.0000721103
451,0.0000422408
452,0.0000193215
453,0.0000049140
454,0.0000000000
455,0.0000049139
456,0.0000077283
457,0.0000168952
458,0.0000288416
459,0.0000427532
460,0.0000576819
461,0.0000726103
462,0.0000865210
463,0.0000984660
464,0.0001076312
465,0.0001133921
466,0.0001153562
467,0.0001133896
468,0.0001076263
469,0.0000984593
470,0.0000865132
471,0.0000726022
472,0.0000576742
473,0.0000427465
474,0.0000288364
475,0.0000168918
476,0.0000077265
477,0.0000019651
478,0.0000000000
479,0.0000019650
480,0.0000077262
481,0.0000168906
482,0.0000288338
483,0.0000427416
484,0.0000576662
485,0.0000725905
486,0.0000864973
487,0.0000984389
488,0.0001076016
489,0.0001133608
490,0.0001153243
491,0.0001133582
492,0.0001075965
493,0.0000984320
494,0.0000864891
495,0.0000725819
496,0.0000576580
497,0.0000427345
498,0.0000288283
499,0.0000168870
500,0.0000077243
501,0.0000019645
502,0.0000000000
503,0.0000019645
504,0.0000193099
505,0.0000422146
506,0.0000720639
507,0.0001068234
508,0.0001441242
509,0.0001814241
510,0.0002161811
511,0.0002460264
512,0.0002689263
513,0.0002833202
514,0.0002882272
515,0.0002833132
516,0.0002689130
517,0.0002460082
518,0.0002161597
519,0.0001814017
520,0.0001441029
521,0.0001068050
522,0.0000720496
523,0.0000422052
524,0.0000193052
525,0.0000049099
526,0.0000000000
527,0.0000049098
528,0.0000193042
529,0.0000422020
530,0.0000720424
531,0.0001067915
532,0.0001440810
533,0.0001813697
534,0.0002161160
535,0.0002459523
536,0.0002688451
537,0.0002832345
538,0.0002881399
539,0.0002832272
540,0.0002688312
541,0.0002459333
542,0.0002160937
543,0.0001813463
544,0.0001440587
545,0.0001067722
546,0.0000720275
547,0.0000421922
548,0.0000192992
549,0.0000049084
550,0.0000000000
551,0.0000049082
552,0.0000192982
553,0.0000421888
554,0.0000720199
555,0.0001067581
556,0.0001440360
557,0.0001813128
558,0.0002160482
559,0.0002458749
560,0.0002687604
561,0.0002831451
562,0.0002880488
563,0.0002831375
564,0.0002687460
565,0.0002458551
566,0.0002160249
567,0.0001812884
568,0.0001440127
569,0.0001067380
570,0.0000720044
571,0.0000421786
572,0.0000192930
573,0.0000049068
574,0.0000000000
575,0.0000049066
576,0.0000192919
577,0.0000421752
578,0.0000719965
579,0.0001067234
580,0.0001439890
581,0.0001812536
582,0.0002159775
583,0.0002457944
584,0.0002686722
585,0.0002830520
586,0.0002879540
587,0.0002830441
588,0.0002686572
589,0.0002457737
590,0.0002159533
591,0.0001812282
592,0.0001439648
593,0.0001067025
594,0.0000719804
595,0.0000421645
596,0.0000192865
597,0.0000049051
598,0.0000000000
599,0.0000049050
600,0.0000192854
601,0.0000421609
602,0.0000719722
603,0.0001066873
604,0.0001439402
605,0.0001811920
606,0.0002159041
607,0.0002457106
608,0.0002685805
609,0.0002829553
610,0.0002878554
611,0.0002829471
612,0.0002685649
613,0.0002456892
614,0.0002158789
615,0.0001811657
616,0.0001439151
617,0.0001066656
618,0.0000719554
619,0.0000421499
620,0.0000192798
621,0.0000049034
622,0.0000000000
623,0.0000049033
624,0.0000077115
625,0.0000168585
626,0.0000287788
627,0.0000426599
628,0.0000575558
629,0.0000724513
630,0.0000863311
631,0.0000982495
632,0.0001073942
633,0.0001131420
634,0.0001151012
635,0.0001131386
636,0.0001073877
637,0.0000982406
638,0.0000863207
639,0.0000724403
640,0.0000575454
641,0.0000426509
642,0.0000287718
643,0.0000168539
644,0.0000077092
645,0.0000019607
646,0.0000000000
647,0.0000019606
648,0.0000077087
649,0.0000168523
650,0.0000287683
651,0.0000426444
652,0.0000575348
653,0.0000724248
654,0.0000862995
655,0.0000982135
656,0.0001073547
657,0.0001131004
658,0.0001150589
659,0.0001130968
660,0.0001073480
661,0.0000982043
662,0.0000862888
663,0.0000724135
664,0.0000575240
665,0.0000426350
666,0.0000287611
667,0.0000168476
668,0.0000077063
669,0.0000019599
670,0.0000000000
671,0.0000019599
672,0.0000192645
673,0.0000421150
674,0.0000718936
675,0.0001065707
676,0.0001437827
677,0.0001809935
678,0.0002156671
679,0.0002454406
680,0.0002682849
681,0.0002826434
682,0.0002875376
683,0.0002826342
684,0.0002682676
685,0.0002454168
686,0.0002156392
687,0.0001809643
688,0.0001437548
689,0.0001065466
690,0.0000718751
691,0.0000421028
692,0.0000192582
693,0.0000048979
694,0.0000000000
695,0.0000048978
696,0.0000192570
697,0.0000420986
698,0.0000718656
699,0.0001065291
700,0.0001437265
701,0.0001809227
702,0.0002155827
703,0.0002453443
704,0.0002681796
705,0.0002825323
706,0.0002874244
707,0.0002825229
708,0.0002681617
709,0.0002453198
710,0.0002155539
711,0.0001808926
712,0.0001436978
713,0.0001065043
714,0.0000718465
715,0.0000420860
716,0.0000192506
717,0.0000048960
718,0.0000000000
719,0.0000048958
720,0.0000192493
721,0.0000420817
722,0.0000718368
723,0.0001064863
724,0.0001436686
725,0.0001808497
726,0.0002154956
727,0.0002452451
728,0.0002680709
729,0.0002824177
730,0.0002873077
731,0.0002824080
732,0.0002680525
733,0.0002452198
734,0.0002154659
735,0.0001808186
736,0.0001436390
737,0.0001064606
738,0.0000718170
739,0.0000420687
740,0.0000192426
741,0.0000048940
742,0.0000000000
743,0.0000048938
744,0.0000192413
745,0.0000420643
746,0.0000718070
747,0.0001064421
748,0.0001436089
749,0.0001807745
750,0.0002154058
751,0.0002451428
752,0.0002679590
753,0.0002822996
754,0.0002871874
755,0.0002822896
756,0.0002679400
757,0.0002451168
758,0.0002153753
759,0.0001807425
760,0.0001435784
761,0.0001064157
762,0.0000717866
763,0.0000420509
764,0.0000192345
765,0.0000048919
766,0.0000000000
767,0.0000048917
768,0.0000192331
769,0.0000420464
770,0.0000717763
771,0.0001063966
772,0.0001435475
773,0.0001806970
774,0.0002153134
775,0.0002450375
776,0.0002678438
777,0.0002821781
778,0.0002870637
779,0.0002821678
780,0.0002678243
781,0.0002450107
782,0.0002152820
783,0.0001806641
784,0.0001435161
785,0.0001063694
786,0.0000717554
787,0.0000420326
788,0.0000192261
789,0.0000048897
790,0.0000000000
791,0.0000048896
792,0.0000076899
793,0.0000168112
794,0.0000286979
795,0.0000425399
796,0.0000573937
797,0.0000722470
798,0.0000860874
799,0.0000979717
800,0.0001070901
801,0.0001128213
802,0.0001147746
803,0.0001128170
804,0.0001070821
805,0.0000979607
806,0.0000860745
807,0.0000722334
808,0.0000573808
809,0.0000425288
810,0.0000286893
811,0.0000168055
812,0.0000076870
813,0.0000019550
814,0.0000000000
815,0.0000019549
816,0.0000076864
817,0.0000168036
818,0.0000286850
819,0.0000425207
820,0.0000573677
821,0.0000722142
822,0.0000860483
823,0.0000979273
824,0.0001070415
825,0.0001127699
826,0.0001147223
827,0.0001127656
828,0.0001070332
829,0.0000979160
830,0.0000860351
831,0.0000722004
832,0.0000573545
833,0.0000425093
834,0.0000286761
835,0.0000167978
836,0.0000076835
837,0.0000019541
838,0.0000000000
839,0.0000019540
840,0.0000192071
841,0.0000419895
842,0.0000716792
843,0.0001062524
844,0.0001433528
845,0.0001804517
846,0.0002150207
847,0.0002447041
848,0.0002674789
849,0.0002817932
850,0.0002866717
851,0.0002817821
852,0.0002674578
853,0.0002446751
854,0.0002149868
855,0.0001804161
856,0.0001433188
857,0.0001062231
858,0.0000716566
859,0.0000419746
860,0.0000191996
861,0.0000048830
862,0.0000000000
863,0.0000048828
864,0.0000191980
865,0.0000419696
866,0.0000716451
867,0.0001062019
868,0.0001432845
869,0.0001803656
870,0.0002149181
871,0.0002445872
872,0.0002673510
873,0.0002816583
874,0.0002865343
875,0.0002816469
876,0.0002673294
877,0.0002445575
878,0.0002148833
879,0.0001803292
880,0.0001432497
881,0.0001061718
882,0.0000716220
883,0.0000419543
884,0.0000191903
885,0.0000048806
886,0.0000000000
887,0.0000048804
888,0.0000191887
889,0.0000419492
890,0.0000716102
891,0.0001061501
892,0.0001432146
893,0.0001802775
894,0.0002148130
895,0.0002444674
896,0.0002672200
897,0.0002815202
898,0.0002863936
899,0.0002815085
900,0.0002671978
901,0.0002444371
902,0.0002147774
903,0.0001802402
904,0.0001431790
905,0.0001061193
906,0.0000715865
907,0.0000419335
908,0.0000191807
909,0.0000048782
910,0.0000000000
911,0.0000048780
912,0.0000191791
913,0.0000419283
914,0.0000715745
915,0.0001060971
916,0.0001431430
917,0.0001801873
918,0.0002147054
919,0.0002443449
920,0.0002670859
921,0.0002813788
922,0.0002862497
923,0.0002813669
924,0.0002670633
925,0.0002443138
926,0.0002146690
927,0.0001801492
928,0.0001431066
929,0.0001060656
930,0.0000715502
931,0.0000419123
932,0.0000191710
933,0.0000048757
934,0.0000000000
935,0.0000048755
936,0.0000191694
937,0.0000419069
938,0.0000715380
939,0.0001060429
940,0.0001430698
941,0.0001800951
942,0.0002145955
943,0.0002442196
944,0.0002669488
945,0.0002812343
946,0.0002861025
947,0.0002812221
948,0.0002669257
949,0.0002441879
950,0.0002145583
951,0.0001800561
952,0.0001430326
953,0.0001060107
954,0.0000715132
955,0.0000418905
956,0.0000191611
957,0.0000048732
958,0.0000000000
959,0.0000048730
960,0.0000076638
961,0.0000167540
962,0.0000286003
963,0.0000423950
964,0.0000571980
965,0.0000720004
966,0.0000857932
967,0.0000976367
968,0.0001067235
969,0.0001124346
970,0.0001143809
971,0.0001124297
972,0.0001067141
973,0.0000976237
974,0.0000857780
975,0.0000719844
976,0.0000571828
977,0.0000423819
978,0.0000285901
979,0.0000167473
980,0.0000076604
981,0.0000019482
982,0.0000000000
983,0.0000019482
984,0.0000076597
985,0.0000167451
986,0.0000285850
987,0.0000423724
988,0.0000571675
989,0.0000719619
990,0.0000857473
991,0.0000975844
992,0.0001066663
993,0.0001123743
994,0.0001143195
995,0.0001123693
996,0.0001066567
997,0.0000975712
998,0.0000857318
999,0.0000719456
1000,0.0000571520
1001,0.0000423590
1002,0.0000285747
1003,0.0000167383
1004,0.0000076562
1005,0.0000019472
1006,0.0000000000
1007,0.0000019471
1008,0.0000191388
1009,0.0000418400
1010,0.0000714237
1011,0.0001058733
1012,0.0001428408
1013,0.0001798066
1014,0.0002142513
1015,0.0002438277
1016,0.0002665200
1017,0.0002807821
1018,0.0002856421
1019,0.0002807691
1020,0.0002664954
1021,0.0002437939
1022,0.0002142118
1023,0.0001797651
1024,0.0001428013
1025,0.0001058391
1026,0.0000713973
1027,0.0000418226
1028,0.0000191300
1029,0.0000048653
1030,0.0000000000
1031,0.0000048650
1032,0.0000191282
1033,0.0000418168
1034,0.0000713840
1035,0.0001058145
1036,0.0001427614
1037,0.0001797065
1038,0.0002141320
1039,0.0002436917
1040,0.0002663713
1041,0.0002806253
1042,0.0002854825
1043,0.0002806121
1044,0.0002663463
1045,0.0002436574
1046,0.0002140917
1047,0.0001796643
1048,0.0001427211
1049,0.0001057796
1050,0.0000713572
1051,0.0000417991
1052,0.0000191192
1053,0.0000048625
1054,0.0000000000
1055,0.0000048623
1056,0.0000191174
1057,0.0000417931
1058,0.0000713436
1059,0.0001057545
1060,0.0001426804
1061,0.0001796046
1062,0.0002140104
1063,0.0002435533
1064,0.0002662199
1065,0.0002804656
1066,0.0002853199
1067,0.0002804522
1068,0.0002661943
1069,0.0002435183
1070,0.0002139694
1071,0.0001795615
1072,0.0001426394
1073,0.0001057191
1074,0.0000713163
1075,0.0000417751
1076,0.0000191082
1077,0.0000048597
1078,0.0000000000
1079,0.0000048595
1080,0.0000191064
