hour,value
0,0.0000000000
1,0.0000047627
2,0.0000187261
3,0.0000409386
4,0.0000698866
5,0.0001035972
6,0.0001397731
7,0.0001759490
8,0.0002096596
9,0.0002386075
10,0.0002608200
11,0.0002747833
12,0.0002795458
13,0.0002747831
14,0.0002608197
15,0.0002386071
16,0.0002096591
17,0.0001759485
18,0.0001397726
19,0.0001035968
20,0.0000698862
21,0.0000409384
22,0.0000187259
23,0.0000047626
24,0.0000000000
25,0.0000047626
26,0.0000187259
27,0.0000409382
28,0.0000698859
29,0.0001035961
30,0.0001397716
31,0.0001759471
32,0.0002096571
33,0.0002386045
34,0.0002608166
35,0.0002747796
36,0.0002795419
37,0.0002747791
38,0.0002608157
39,0.0002386033
40,0.0002096556
41,0.0001759455
42,0.0001397701
43,0.0001035949
44,0.0000698849
45,0.0000409376
46,0.0000187256
47,0.0000047625
48,0.0000000000
49,0.0000047625
50,0.0000187255
51,0.0000409373
52,0.0000698843
53,0.0001035936
54,0.0001397682
55,0.0001759426
56,0.0002096517
57,0.0002385982
58,0.0002608095
59,0.0002747720
60,0.0002795340
61,0.0002747712
62,0.0002608080
63,0.0002385961
64,0.0002096492
65,0.0001759400
66,0.0001397657
67,0.0001035915
68,0.0000698826
69,0.0000409362
70,0.0000187249
71,0.0000047624
72,0.0000000000
73,0.0000047623
74,0.0000187248
75,0.0000409358
76,0.0000698816
77,0.0001035897
78,0.0001397628
79,0.0001759357
80,0.0002096433
81,0.0002385886
82,0.0002607988
83,0.0002747605
84,0.0002795222
85,0.0002747594
86,0.0002607967
87,0.0002385856
88,0.0002096399
89,0.0001759321
90,0.0001397593
91,0.0001035867
92,0.0000698793
93,0.0000409343
94,0.0000187240
95,0.0000047621
96,0.0000000000
97,0.0000047621
98,0.0000187239
99,0.0000409337
100,0.0000698780
101,0.0001035843
102,0.0001397554
103,0.0001759263
104,0.0002096320
105,0.0002385755
106,0.0002607844
107,0.0002747452
108,0.0002795064
109,0.0002747437
110,0.0002607816
111,0.0002385717
112,0.0002096276
113,0.0001759216
114,0.0001397509
115,0.0001035804
116,0.0000698751
117,0.0000409318
118,0.0000187229
119,0.0000047618
120,0.0000000000
121,0.0000023809
122,0.0000093613
123,0.0000204655
124,0.0000349367
125,0.0000517887
126,0.0000698730
127,0.0000879572
128,0.0001048089
129,0.0001192796
130,0.0001303832
131,0.0001373630
132,0.0001397434
133,0.0001373621
134,0.0001303815
135,0.0001192772
136,0.0001048061
137,0.0000879544
138,0.0000698703
139,0.0000517864
140,0.0000349349
141,0.0000204643
142,0.0000093607
143,0.0000023807
144,0.0000000000
145,0.0000023807
146,0.0000093606
147,0.0000204639
148,0.0000349339
149,0.0000517845
150,0.0000698673
151,0.0000879500
152,0.0001048002
153,0.0001192697
154,0.0001303723
155,0.0001373515
156,0.0001397315
157,0.0001373504
158,0.0001303703
159,0.0001192670
160,0.0001047970
161,0.0000879467
162,0.0000698641
163,0.0000517818
164,0.0000349318
165,0.0000204625
166,0.0000093599
167,0.0000023805
168,0.0000000000
169,0.0000047610
170,0.0000187194
171,0.0000409240
172,0.0000698613
173,0.0001035593
174,0.0001397214
175,0.0001758832
176,0.0002095803
177,0.0002385163
178,0.0002607192
179,0.0002746760
180,0.0002794355
181,0.0002746736
182,0.0002607146
183,0.0002385100
184,0.0002095729
185,0.0001758755
186,0.0001397140
187,0.0001035529
188,0.0000698564
189,0.0000409207
190,0.0000187178
191,0.0000047605
192,0.0000000000
193,0.0000047605
194,0.0000187174
195,0.0000409196
196,0.0000698538
197,0.0001035480
198,0.0001397062
199,0.0001758639
200,0.0002095572
201,0.0002384898
202,0.0002606902
203,0.0002746452
204,0.0002794041
205,0.0002746425
206,0.0002606850
207,0.0002384827
208,0.0002095489
209,0.0001758552
210,0.0001396978
211,0.0001035408
212,0.0000698482
213,0.0000409159
214,0.0000187156
215,0.0000047600
216,0.0000000000
217,0.0000047599
218,0.0000187152
219,0.0000409146
220,0.0000698452
221,0.0001035354
222,0.0001396890
223,0.0001758422
224,0.0002095312
225,0.0002384601
226,0.0002606575
227,0.0002746106
228,0.0002793687
229,0.0002746076
230,0.0002606517
231,0.0002384521
232,0.0002095218
233,0.0001758324
234,0.0001396796
235,0.0001035273
236,0.0000698390
237,0.0000409105
238,0.0000187131
239,0.0000047593
240,0.0000000000
241,0.0000047593
242,0.0000187127
243,0.0000409091
244,0.0000698357
245,0.0001035212
246,0.0001396698
247,0.0001758180
248,0.0002095022
249,0.0002384270
250,0.0002606211
251,0.0002745722
252,0.0002793295
253,0.0002745688
254,0.0002606147
255,0.0002384182
256,0.0002094919
257,0.0001758072
258,0.0001396595
259,0.0001035123
260,0.0000698289
261,0.0000409046
262,0.0000187104
263,0.0000047586
264,0.0000000000
265,0.0000047586
266,0.0000187099
267,0.0000409030
268,0.0000698253
269,0.0001035057
270,0.0001396487
271,0.0001757913
272,0.0002094704
273,0.0002383906
274,0.0002605812
275,0.0002745300
276,0.0002792863
277,0.0002745263
278,0.0002605742
279,0.0002383810
280,0.0002094591
281,0.0001757795
282,0.0001396375
283,0.0001034959
284,0.0000698178
285,0.0000408980
286,0.0000187074
287,0.0000047579
288,0.0000000000
289,0.0000023789
290,0.0000093534
291,0.0000204482
292,0.0000349069
293,0.0000517443
294,0.0000698129
295,0.0000878811
296,0.0001047178
297,0.0001191754
298,0.0001302688
299,0.0001372420
300,0.0001396197
301,0.0001372400
302,0.0001302650
303,0.0001191702
304,0.0001047117
305,0.0000878747
306,0.0000698067
307,0.0000517390
308,0.0000349029
309,0.0000204455
310,0.0000093521
311,0.0000023785
312,0.0000000000
313,0.0000023785
314,0.0000093518
315,0.0000204445
316,0.0000349007
317,0.0000517351
318,0.0000698004
319,0.0000878654
320,0.0001046990
321,0.0001191539
322,0.0001302453
323,0.0001372170
324,0.0001395942
325,0.0001372149
326,0.0001302411
327,0.0001191483
328,0.0001046924
329,0.0000878585
330,0.0000697938
331,0.0000517294
332,0.0000348963
333,0.0000204416
334,0.0000093503
335,0.0000023781
336,0.0000000000
337,0.0000047561
338,0.0000187000
339,0.0000408813
340,0.0000697881
341,0.0001034504
342,0.0001395739
343,0.0001756968
344,0.0002093574
345,0.0002382616
346,0.0002604398
347,0.0002743805
348,0.0002791338
349,0.0002743759
350,0.0002604310
351,0.0002382495
352,0.0002093432
353,0.0001756820
354,0.0001395598
355,0.0001034382
356,0.0000697787
357,0.0000408751
358,0.0000186968
359,0.0000047552
360,0.0000000000
361,0.0000047551
362,0.0000186962
363,0.0000408729
364,0.0000697738
365,0.0001034291
366,0.0001395451
367,0.0001756605
368,0.0002093140
