hour,value
0,7.384685298795728e-05
1,7.384685298795728e-05
2,7.384685298795728e-05
3,7.384685298795728e-05
4,7.384685298795728e-05
5,7.384685298795728e-05
6,7.384685298795728e-05
7,7.384685298795728e-05
8,7.384685298795728e-05
9,7.384685298795728e-05
10,7.384685298795728e-05
11,7.384685298795728e-05
12,7.384685298795728e-05
13,7.384685298795728e-05
14,7.384685298795728e-05
15,7.384685298795728e-05
16,7.384685298795728e-05
17,7.384685298795728e-05
18,7.384685298795728e-05
19,7.384685298795728e-05
20,7.384685298795728e-05
21,7.384685298795728e-05
22,7.384685298795728e-05
23,7.384685298795728e-05
24,7.384685298795728e-05
25,7.384685298795728e-05
26,7.384685298795728e-05
27,7.384685298795728e-05
28,7.384685298795728e-05
29,7.384685298795728e-05
30,7.384685298795728e-05
31,7.384685298795728e-05
32,7.384685298795728e-05
33,7.384685298795728e-05
34,7.384685298795728e-05
35,7.384685298795728e-05
36,7.384685298795728e-05
37,7.384685298795728e-05
38,7.384685298795728e-05
39,7.384685298795728e-05
40,7.384685298795728e-05
41,7.384685298795728e-05
42,7.384685298795728e-05
43,7.384685298795728e-05
44,7.384685298795728e-05
45,7.384685298795728e-05
46,7.384685298795728e-05
47,7.384685298795728e-05
48,7.384685298795728e-05
49,7.384685298795728e-05
50,7.384685298795728e-05
51,7.384685298795728e-05
52,7.384685298795728e-05
53,7.384685298795728e-05
54,7.384685298795728e-05
55,7.384685298795728e-05
56,7.384685298795728e-05
57,7.384685298795728e-05
58,7.384685298795728e-05
59,7.384685298795728e-05
60,7.384685298795728e-05
61,7.384685298795728e-05
62,7.384685298795728e-05
63,7.384685298795728e-05
64,7.384685298795728e-05
65,7.384685298795728e-05
66,7.384685298795728e-05
67,7.384685298795728e-05
68,7.384685298795728e-05
69,7.384685298795728e-05
70,7.384685298795728e-05
71,7.384685298795728e-05
72,7.384685298795728e-05
73,7.384685298795728e-05
74,7.384685298795728e-05
75,7.384685298795728e-05
76,7.384685298795728e-05
77,7.384685298795728e-05
78,7.384685298795728e-05
79,7.384685298795728e-05
80,7.384685298795728e-05
81,7.384685298795728e-05
82,7.384685298795728e-05
83,7.384685298795728e-05
84,7.384685298795728e-05
85,7.384685298795728e-05
86,7.384685298795728e-05
87,7.384685298795728e-05
88,7.384685298795728e-05
89,7.384685298795728e-05
90,7.384685298795728e-05
91,7.384685298795728e-05
92,7.384685298795728e-05
93,7.384685298795728e-05
94,7.384685298795728e-05
95,7.384685298795728e-05
96,7.384685298795728e-05
97,7.384685298795728e-05
98,7.384685298795728e-05
99,7.384685298795728e-05
100,7.384685298795728e-05
101,7.384685298795728e-05
102,7.384685298795728e-05
103,7.384685298795728e-05
104,7.384685298795728e-05
105,7.384685298795728e-05
106,7.384685298795728e-05
107,7.384685298795728e-05
108,7.384685298795728e-05
109,7.384685298795728e-05
110,7.384685298795728e-05
111,7.384685298795728e-05
112,7.384685298795728e-05
113,7.384685298795728e-05
114,7.384685298795728e-05
115,7.384685298795728e-05
116,7.384685298795728e-05
117,7.384685298795728e-05
118,7.384685298795728e-05
119,7.384685298795728e-05
120,7.384685298795728e-05
121,7.384685298795728e-05
122,7.384685298795728e-05
123,7.384685298795728e-05
124,7.384685298795728e-05
125,7.384685298795728e-05
126,7.384685298795728e-05
127,7.384685298795728e-05
128,7.384685298795728e-05
129,7.384685298795728e-05
130,7.384685298795728e-05
131,7.384685298795728e-05
132,7.384685298795728e-05
133,7.384685298795728e-05
134,7.384685298795728e-05
135,7.384685298795728e-05
136,7.384685298795728e-05
137,7.384685298795728e-05
138,7.384685298795728e-05
139,7.384685298795728e-05
140,7.384685298795728e-05
141,7.384685298795728e-05
142,7.384685298795728e-05
143,7.384685298795728e-05
144,7.384685298795728e-05
145,7.384685298795728e-05
146,7.384685298795728e-05
147,7.384685298795728e-05
148,7.384685298795728e-05
149,7.384685298795728e-05
150,7.384685298795728e-05
151,7.384685298795728e-05
152,7.384685298795728e-05
153,7.384685298795728e-05
154,7.384685298795728e-05
155,7.384685298795728e-05
156,7.384685298795728e-05
157,7.384685298795728e-05
158,7.384685298795728e-05
159,7.384685298795728e-05
160,7.384685298795728e-05
161,7.384685298795728e-05
162,7.384685298795728e-05
163,7.384685298795728e-05
164,7.384685298795728e-05
165,7.384685298795728e-05
166,7.384685298795728e-05
167,7.384685298795728e-05
168,7.384685298795728e-05
169,7.384685298795728e-05
170,7.384685298795728e-05
171,7.384685298795728e-05
172,7.384685298795728e-05
173,7.384685298795728e-05
174,7.384685298795728e-05
175,7.384685298795728e-05
176,7.384685298795728e-05
177,7.384685298795728e-05
178,7.384685298795728e-05
179,7.384685298795728e-05
180,7.384685298795728e-05
181,7.384685298795728e-05
182,7.384685298795728e-05
183,7.384685298795728e-05
184,7.384685298795728e-05
185,7.384685298795728e-05
186,7.384685298795728e-05
187,7.384685298795728e-05
188,7.384685298795728e-05
189,7.384685298795728e-05
190,7.384685298795728e-05
191,7.384685298795728e-05
192,7.384685298795728e-05
193,7.384685298795728e-05
194,7.384685298795728e-05
195,7.384685298795728e-05
196,7.384685298795728e-05
197,7.384685298795728e-05
198,7.384685298795728e-05
199,7.384685298795728e-05
200,7.384685298795728e-05
201,7.384685298795728e-05
202,7.384685298795728e-05
203,7.384685298795728e-05
204,7.384685298795728e-05
205,7.384685298795728e-05
206,7.384685298795728e-05
207,7.384685298795728e-05
208,7.384685298795728e-05
209,7.384685298795728e-05
210,7.384685298795728e-05
211,7.384685298795728e-05
212,7.384685298795728e-05
213,7.384685298795728e-05
214,7.384685298795728e-05
215,7.384685298795728e-05
216,7.384685298795728e-05
217,7.384685298795728e-05
218,7.384685298795728e-05
219,7.384685298795728e-05
220,7.384685298795728e-05
221,7.384685298795728e-05
222,7.384685298795728e-05
223,7.384685298795728e-05
224,7.384685298795728e-05
225,7.384685298795728e-05
226,7.384685298795728e-05
227,7.384685298795728e-05
228,7.384685298795728e-05
229,7.384685298795728e-05
230,7.384685298795728e-05
231,7.384685298795728e-05
232,7.384685298795728e-05
233,7.384685298795728e-05
234,7.384685298795728e-05
235,7.384685298795728e-05
236,7.384685298795728e-05
237,7.384685298795728e-05
238,7.384685298795728e-05
239,7.384685298795728e-05
240,7.384685298795728e-05
241,7.384685298795728e-05
242,7.384685298795728e-05
243,7.384685298795728e-05
244,7.384685298795728e-05
245,7.384685298795728e-05
246,7.384685298795728e-05
247,7.384685298795728e-05
248,7.384685298795728e-05
249,7.384685298795728e-05
250,7.384685298795728e-05
251,7.384685298795728e-05
252,7.384685298795728e-05
253,7.384685298795728e-05
254,7.384685298795728e-05
255,7.384685298795728e-05
256,7.384685298795728e-05
257,7.384685298795728e-05
258,7.384685298795728e-05
259,7.384685298795728e-05
260,7.384685298795728e-05
261,7.384685298795728e-05
262,7.384685298795728e-05
263,7.384685298795728e-05
264,7.384685298795728e-05
265,7.384685298795728e-05
266,7.384685298795728e-05
267,7.384685298795728e-05
268,7.384685298795728e-05
