hour,value
0,0.0002935367895529085
1,0.0002583123748065593
2,0.00021721722426915215
3,0.000176122073731745
4,0.00011741471582116325
5,8.80610368658725e-05
6,6.457809370163969e-05
7,4.461759201204185e-05
8,2.935367895529074e-05
9,2.348294316423254e-05
10,3.170197327171397e-05
11,4.6965886328465356e-05
12,4.344344485383038e-05
13,5.870735791058148e-05
14,6.457809370163969e-05
15,7.631956528375608e-05
16,6.105565222700498e-05
17,5.635906359415825e-05
18,8.21903010748143e-05
19,8.80610368658725e-05
20,0.00012328545161222147
21,0.00018199280952280322
22,0.00023482943164232676
23,0.0002700538463886757
24,0.0002935367895529085
25,0.0002583123748065593
26,0.00021721722426915215
27,0.000176122073731745
28,0.00011741471582116325
29,8.80610368658725e-05
30,6.457809370163969e-05
31,4.461759201204185e-05
32,2.935367895529074e-05
33,2.348294316423254e-05
34,3.170197327171397e-05
35,4.6965886328465356e-05
36,4.344344485383038e-05
37,5.870735791058148e-05
38,6.457809370163969e-05
39,7.631956528375608e-05
40,6.105565222700498e-05
41,5.635906359415825e-05
42,8.21903010748143e-05
43,8.80610368658725e-05
44,0.00012328545161222147
45,0.00018199280952280322
46,0.00023482943164232676
47,0.0002700538463886757
48,0.0002935367895529085
49,0.0002583123748065593
50,0.00021721722426915215
51,0.000176122073731745
52,0.00011741471582116325
53,8.80610368658725e-05
54,6.457809370163969e-05
55,4.461759201204185e-05
56,2.935367895529074e-05
57,2.348294316423254e-05
58,3.170197327171397e-05
59,4.6965886328465356e-05
60,4.344344485383038e-05
61,5.870735791058148e-05
62,6.457809370163969e-05
63,7.631956528375608e-05
64,6.105565222700498e-05
65,5.635906359415825e-05
66,8.21903010748143e-05
67,8.80610368658725e-05
68,0.00012328545161222147
69,0.00018199280952280322
70,0.00023482943164232676
71,0.0002700538463886757
72,0.0002935367895529085
73,0.0002583123748065593
74,0.00021721722426915215
75,0.000176122073731745
76,0.00011741471582116325
77,8.80610368658725e-05
78,6.457809370163969e-05
79,4.461759201204185e-05
80,2.935367895529074e-05
81,2.348294316423254e-05
82,3.170197327171397e-05
83,4.6965886328465356e-05
84,4.344344485383038e-05
85,5.870735791058148e-05
86,6.457809370163969e-05
87,7.631956528375608e-05
88,6.105565222700498e-05
89,5.635906359415825e-05
90,8.21903010748143e-05
91,8.80610368658725e-05
92,0.00012328545161222147
93,0.00018199280952280322
94,0.00023482943164232676
95,0.0002700538463886757
96,0.0002935367895529085
97,0.0002583123748065593
98,0.00021721722426915215
99,0.000176122073731745
100,0.00011741471582116325
101,8.80610368658725e-05
102,6.457809370163969e-05
103,4.461759201204185e-05
104,2.935367895529074e-05
105,2.348294316423254e-05
106,3.170197327171397e-05
107,4.6965886328465356e-05
108,4.344344485383038e-05
109,5.870735791058148e-05
110,6.457809370163969e-05
111,7.631956528375608e-05
112,6.105565222700498e-05
113,5.635906359415825e-05
114,8.21903010748143e-05
115,8.80610368658725e-05
116,0.00012328545161222147
117,0.00018199280952280322
118,0.00023482943164232676
119,0.0002700538463886757
120,0.0002935367895529085
121,0.0002583123748065593
122,0.00021721722426915215
123,0.000176122073731745
124,0.00011741471582116325
125,8.80610368658725e-05
126,6.457809370163969e-05
127,4.461759201204185e-05
128,2.935367895529074e-05
129,2.348294316423254e-05
130,3.170197327171397e-05
131,4.6965886328465356e-05
132,4.344344485383038e-05
133,5.870735791058148e-05
134,6.457809370163969e-05
135,7.631956528375608e-05
