geography,year,age_group,population
01,2025,0-19,563029.1645000001
01,2025,20-69,1599039.4710000001
01,2025,70+,311490.0793
01,2026,0-19,556232.3853
01,2026,20-69,1608518.5969
01,2026,70+,317762.41610000003
01,2027,0-19,549292.0213
01,2027,20-69,1617927.6998
01,2027,70+,324012.4266
01,2028,0-19,542321.1631
01,2028,20-69,1627842.2931
01,2028,70+,329995.80079999997
01,2029,0-19,535781.5880999999
01,2029,20-69,1637773.0059
01,2029,70+,335735.38499999995
01,2030,0-19,529049.3841
01,2030,20-69,1647988.8821999999
01,2030,70+,341696.76259999996
01,2031,0-19,524160.457
01,2031,20-69,1656563.9078000002
01,2031,70+,347850.8909
01,2032,0-19,519982.1007
01,2032,20-69,1664000.9888
01,2032,70+,354871.5579
01,2033,0-19,516289.0357
01,2033,20-69,1670785.6721
01,2033,70+,362567.3095
01,2034,0-19,513011.5823
01,2034,20-69,1675439.3813
01,2034,70+,372091.2724
01,2035,0-19,510682.3717
01,2035,20-69,1679900.6526000001
01,2035,70+,381081.3855
01,2036,0-19,508544.6243
01,2036,20-69,1684669.3722
01,2036,70+,389777.6993
01,2037,0-19,507618.0417
01,2037,20-69,1689263.9475
01,2037,70+,397694.4683
01,2038,0-19,507353.7361
01,2038,20-69,1694430.8321
01,2038,70+,404701.1533
01,2039,0-19,507676.4833
01,2039,20-69,1700140.1234
01,2039,70+,410928.49360000005
01,2040,0-19,508404.4077999999
01,2040,20-69,1704941.9801
01,2040,70+,417987.3365
01,2041,0-19,508944.95530000003
01,2041,20-69,1708937.2404
01,2041,70+,425987.7167
01,2042,0-19,511645.2857
01,2042,20-69,1710373.2166
01,2042,70+,434317.92850000004
01,2043,0-19,515020.84179999994
01,2043,20-69,1711372.6886
01,2043,70+,442330.2601
01,2044,0-19,519369.42649999994
01,2044,20-69,1711044.9963
01,2044,70+,450569.5599
01,2045,0-19,524044.832
01,2045,20-69,1711505.865
01,2045,70+,457486.2559
03,2025,0-19,93279.65479999999
03,2025,20-69,259344.5755
03,2025,70+,59585.990699999995
03,2026,0-19,93220.14379999999
03,2026,20-69,261751.0722
03,2026,70+,60863.580599999994
03,2027,0-19,93058.9884
03,2027,20-69,264309.2226
03,2027,70+,61962.7346
03,2028,0-19,92792.4818
03,2028,20-69,266982.32
03,2028,70+,63011.4296
03,2029,0-19,92702.2837
03,2029,20-69,269566.6338
03,2029,70+,63935.7916
03,2030,0-19,92437.93
03,2030,20-69,272418.9602
03,2030,70+,64730.9772
03,2031,0-19,92470.0105
03,2031,20-69,274858.7991
03,2031,70+,65596.7531
03,2032,0-19,92370.76870000002
03,2032,20-69,277351.4829
03,2032,70+,66497.0644
03,2033,0-19,92568.9186
03,2033,20-69,279325.7356
03,2033,70+,67587.0232
03,2034,0-19,92664.60519999999
03,2034,20-69,281106.0315
03,2034,70+,68878.9312
03,2035,0-19,92678.4344
03,2035,20-69,282958.6439
03,2035,70+,70112.2583
03,2036,0-19,92745.0043
03,2036,20-69,284682.11970000004
03,2036,70+,71361.5303
